Fecha;Variable;Valor;Código validación;Unidad
1/11/11 0:10;Temperatura  a 0.1m;10.28;1;ºC
1/11/11 0:20;Temperatura  a 0.1m;10.23;1;ºC
1/11/11 0:30;Temperatura  a 0.1m;10.15;1;ºC
1/11/11 0:40;Temperatura  a 0.1m;10.23;1;ºC
1/11/11 0:50;Temperatura  a 0.1m;10.18;1;ºC
1/11/11 1:00;Temperatura  a 0.1m;10.20;1;ºC
1/11/11 1:10;Temperatura  a 0.1m;10.12;1;ºC
1/11/11 1:20;Temperatura  a 0.1m;10.13;1;ºC
1/11/11 1:30;Temperatura  a 0.1m;10.09;1;ºC
1/11/11 1:40;Temperatura  a 0.1m;10.13;1;ºC
1/11/11 1:50;Temperatura  a 0.1m;10.20;1;ºC
1/11/11 2:00;Temperatura  a 0.1m;10.18;1;ºC
1/11/11 2:10;Temperatura  a 0.1m;10.13;1;ºC
1/11/11 2:20;Temperatura  a 0.1m;10.09;1;ºC
1/11/11 2:30;Temperatura  a 0.1m;10.09;1;ºC
1/11/11 2:40;Temperatura  a 0.1m;10.09;1;ºC
1/11/11 2:50;Temperatura  a 0.1m;10.09;1;ºC
1/11/11 3:00;Temperatura  a 0.1m;10.08;1;ºC
1/11/11 3:10;Temperatura  a 0.1m;10.08;1;ºC
1/11/11 3:20;Temperatura  a 0.1m;10.04;1;ºC
1/11/11 3:30;Temperatura  a 0.1m;10.06;1;ºC
1/11/11 3:40;Temperatura  a 0.1m;10.04;1;ºC
1/11/11 3:50;Temperatura  a 0.1m;10.06;1;ºC
1/11/11 4:00;Temperatura  a 0.1m;10.11;1;ºC
1/11/11 4:10;Temperatura  a 0.1m;10.04;1;ºC
1/11/11 4:20;Temperatura  a 0.1m;9.97;1;ºC
1/11/11 4:30;Temperatura  a 0.1m;9.91;1;ºC
1/11/11 4:40;Temperatura  a 0.1m;9.89;1;ºC
1/11/11 4:50;Temperatura  a 0.1m;9.71;1;ºC
1/11/11 5:00;Temperatura  a 0.1m;9.47;1;ºC
1/11/11 5:10;Temperatura  a 0.1m;9.10;1;ºC
1/11/11 5:20;Temperatura  a 0.1m;9.01;1;ºC
1/11/11 5:30;Temperatura  a 0.1m;8.94;1;ºC
1/11/11 5:40;Temperatura  a 0.1m;8.78;1;ºC
1/11/11 5:50;Temperatura  a 0.1m;8.61;1;ºC
1/11/11 6:00;Temperatura  a 0.1m;8.52;1;ºC
1/11/11 6:10;Temperatura  a 0.1m;8.78;1;ºC
1/11/11 6:20;Temperatura  a 0.1m;8.81;1;ºC
1/11/11 6:30;Temperatura  a 0.1m;8.84;1;ºC
1/11/11 6:40;Temperatura  a 0.1m;8.45;1;ºC
1/11/11 6:50;Temperatura  a 0.1m;8.41;1;ºC
1/11/11 7:00;Temperatura  a 0.1m;8.75;1;ºC
1/11/11 7:10;Temperatura  a 0.1m;8.65;1;ºC
1/11/11 7:20;Temperatura  a 0.1m;8.06;1;ºC
1/11/11 7:30;Temperatura  a 0.1m;7.97;1;ºC
1/11/11 7:40;Temperatura  a 0.1m;7.82;1;ºC
1/11/11 7:50;Temperatura  a 0.1m;7.85;1;ºC
1/11/11 8:00;Temperatura  a 0.1m;8.23;1;ºC
1/11/11 8:10;Temperatura  a 0.1m;9.10;1;ºC
1/11/11 8:20;Temperatura  a 0.1m;10.05;1;ºC
1/11/11 8:30;Temperatura  a 0.1m;10.32;1;ºC
1/11/11 8:40;Temperatura  a 0.1m;10.62;1;ºC
1/11/11 8:50;Temperatura  a 0.1m;11.05;1;ºC
1/11/11 9:00;Temperatura  a 0.1m;11.80;1;ºC
1/11/11 9:10;Temperatura  a 0.1m;12.95;1;ºC
1/11/11 9:20;Temperatura  a 0.1m;13.45;1;ºC
1/11/11 9:30;Temperatura  a 0.1m;13.66;1;ºC
1/11/11 9:40;Temperatura  a 0.1m;13.60;1;ºC
1/11/11 9:50;Temperatura  a 0.1m;13.30;1;ºC
1/11/11 10:00;Temperatura  a 0.1m;13.86;1;ºC
1/11/11 10:10;Temperatura  a 0.1m;14.30;1;ºC
